id,product_unit_id,actor_id,actor_organization_id,event_type,location_label,latitude,longitude,timestamp,event_hash,previous_event_hash,tx_hash,chain_status,idempotency_key,metadata,created_at
1,1,24,5,manufactured,Chicago Regional Warehouse,41.8781,-87.6298,2024-01-13 00:00:00+00,98585201e0f91f050f1483d3c1ac0f8a90967279e11bcd9c011ddfc6afa4efae,0000000000000000000000000000000000000000000000000000000000000000,0x336f85821f33795c929776f120c21263986c40a481b4df7155ce4f3d01bd1fd3,confirmed,unit-1-manufactured-20240113T000000-3286,"{""batch_no"": ""B9935"", ""line"": ""A""}",2024-01-13 00:05:00+00
2,1,12,4,sold,New York Fulfillment Center,40.7128,-74.006,2024-08-01 05:00:00+00,a5d0992fc32b4192857c7dbbe3c95a9a33fd1487d843f13786f0653216588085,0000000000000000000000000000000000000000000000000000000000000000,0x6bbcaae97c9c33eec47f5cb5a24987ba1a4925cc00fe95cd64fd5af95bc1f08e,confirmed,unit-1-sold-20240801T050000-2402,{},2024-08-01 05:02:00+00
3,1,14,3,manufactured,Mumbai Inspection Center,19.076,72.8777,2025-01-07 11:00:00+00,2c33fdf7ddbdd4564fccbf203a4139e54ba582c1887723306f694084bb302006,a5d0992fc32b4192857c7dbbe3c95a9a33fd1487d843f13786f0653216588085,,pending,unit-1-manufactured-20250107T110000-6995,{},2025-01-07 11:04:00+00
4,1,17,5,manufactured,Mexico City Assembly Plant,19.4326,-99.1332,2025-05-15 09:00:00+00,a10aa79c84f6cb3f30d5cd7eab43064c1888daa8bea013da945c9027b5a67d6f,2c33fdf7ddbdd4564fccbf203a4139e54ba582c1887723306f694084bb302006,0x3e94a86f1fa8f987b9e02f1c8bd874a8cf122841e6fdfd0467cd3434c927336f,failed,unit-1-manufactured-20250515T090000-8054,{},2025-05-15 09:00:00+00
5,2,2,1,manufactured,Los Angeles Port Terminal,33.7406,-118.2706,2024-08-04 00:00:00+00,32d102697fcac0f6be704b32ce5c246b1994a7c2458ef0fe34515e145fc5976d,0000000000000000000000000000000000000000000000000000000000000000,0x08c48958d5f8eb4c1c284d2a5b425818d88c3a94b2a49862e16efec2076b25b6,confirmed,unit-2-manufactured-20240804T000000-4811,"{""batch_no"": ""B1434"", ""line"": ""C""}",2024-08-04 00:04:00+00
6,2,7,9,inspected,Dallas Retail Store #12,32.7767,-96.797,2024-08-05 08:00:00+00,e9b833a13f7be9a3f7fa6ca4551a1bec34ca55269e75dc8a0d305c0044abb2ed,32d102697fcac0f6be704b32ce5c246b1994a7c2458ef0fe34515e145fc5976d,0xae8a7318f4ce4da0c02a891e99df2adf0238553039d514ac21f9ebc4508df7f2,confirmed,unit-2-inspected-20240805T080000-8359,"{""inspector_notes"": ""passed"", ""score"": 96.4}",2024-08-05 08:00:00+00
7,2,6,7,shipped,Hamburg Container Yard,53.5511,9.9937,2024-08-07 06:00:00+00,69a63a208b01de5cfb61993fc2d668e03afad8808cdbecf4964e35758fa45693,e9b833a13f7be9a3f7fa6ca4551a1bec34ca55269e75dc8a0d305c0044abb2ed,0x628d719fb0151126ce185f8eb3d1eb38bf3b3a4a75ba7d90cf8c19d8aa392710,confirmed,unit-2-shipped-20240807T060000-3547,"{""carrier"": ""DHL"", ""container_id"": ""CNT207175""}",2024-08-07 06:01:00+00
8,2,3,7,received,Los Angeles Port Terminal,33.7406,-118.2706,2024-08-10 03:00:00+00,0e77e30bf89275761f2044baeeaa9f2b56d2eb0c6d0c63a0edc86e049278bab6,69a63a208b01de5cfb61993fc2d668e03afad8808cdbecf4964e35758fa45693,0xb396fac7ba5f2f0ac52cb533f87c1dbabd481380384b268bce6b333617412b82,confirmed,unit-2-received-20240810T030000-6635,"{""dock"": ""D2"", ""condition"": ""good""}",2024-08-10 03:01:00+00
9,2,15,9,sold,Los Angeles Port Terminal,33.7406,-118.2706,2024-08-12 16:00:00+00,1df68a1816ed251eecaf620121823087c5e1f697c014060d5f47e7b3f4911ddb,0e77e30bf89275761f2044baeeaa9f2b56d2eb0c6d0c63a0edc86e049278bab6,0x83192932ba1adf56dd23e289539cbf3c1daab2ed495cb31a4b9aa55f917d9f63,confirmed,unit-2-sold-20240812T160000-2291,"{""order_id"": ""ORD92397"", ""channel"": ""wholesale""}",2024-08-12 16:05:00+00
10,2,11,2,shipped,Dallas Retail Store #12,32.7767,-96.797,2024-10-25 09:00:00+00,6e5a466b698305da3bcb540357d897a965640aa9fb0c2a22277b3d474ba3a251,5bf6ec75cb9e51c68d7966f51033f6f12b1a1fffc1c8036e160a7c466f6b9ef0,0xdc028e15c07b8c175ffe1fed9141d66ffecbcf3fb1da748e27edbc6a6d0d2ef8,confirmed,unit-2-shipped-20241025T090000-1436,{},2024-10-25 09:04:00+00
