id,product_hash,qr_public_token,gtin,batch_no,serial_no,product_name,expiry_date,manufacturer_org_id,current_custodian_org_id,status,risk_score,risk_level,scan_count,last_verified_at,created_at
1,c6a65e9d50f9c257392b9bedcfec8fda0fc745242de8b853af7ac618bbc78260,TpigTHKbfoLISRABr1VjArnVgxwvqcCh,90268310679883,B8428-U56,SN-200604-000001-479,ORS Rehydration Sachet,2027-07-11,23,22,delivered,60.91,medium,2,2025-10-18 17:34:40,2026-05-21 18:49:40
2,dec9e2fac2373f2d3ea98c0d91aeff66068d7bf21ff50eac4df831d08c1d37d8,obtqn62tOy4CqpIqK3yn9FfcgMXAdx9G,98076526144982,B9201-Y32,SRL-197106-000002-208,Insulin Regular Vial,2028-07-26,17,20,created,37.39,medium,5,2026-01-04 16:02:40,2025-05-24 04:13:40
3,7329b45772f55ab1f3ce0e923edade81322101d08f2bcb1ab9f6361bbe563083,ooJeTY8HhO6kGL75UQSyPx3BpdbIKaRdebuFrEHS,85244063480660,B6559-Z23,SN-198508-000003-296,Omeprazole 20mg Capsules,2027-03-03,14,6,in_transit,24.98,low,0,,2025-10-12 22:16:40
4,f6a930e19ad9a2420f4b83cc0b55ad2b430d5cdff6bbac01a6676a5eddccd96a,50kEnydx9qWCA79ISjs8JHUdKF0j7elK,62182564559272,B7484-E95,SRL-198208-000004-407,Salbutamol Inhaler,2028-11-18,3,1,in_transit,99.85,high,1,2026-07-06 04:13:40,2026-08-07 08:46:40
5,af7fc78eef6d17fe85bf3eb5907338b3451b62850e05af4e0e2ce722340b1484,ZRL9OaYsP6ihgIqLSmNqE40fAraVNqTIAae24HZK,11387882217846,B3532-H30,SN-201110-000005-522,Amoxicillin 500mg Capsules,2027-09-16,14,22,sold,81.07,high,12,2026-05-21 09:17:40,2025-05-29 01:47:40
6,f82369ba05157aeddd78aa787db82e63c6812ff4e31c623aeb9966d9f21677db,nOyreVvFQ0ub2qJ8cKvWB9h3lcBGYQ6T,14996619563651,B7211-V32,SRL-200805-000006-682,Amlodipine 5mg Tablets,2029-02-10,1,10,in_transit,42.99,medium,3,2026-05-24 23:39:40,2025-07-31 16:59:40
7,9da0a21fc0a5b845e56bfb3203adca147e838d96b34aeb78c8cb7aa971d50fb9,FNuYUPnmbpD0ezNmREpOaUVgAk7Gdp0CXP9K63LS,58587422675620,B5681-H44,PU-202007-000007-427,Multivitamin Syrup,2026-06-25,8,13,delivered,,,4,2026-08-11 09:16:40,2026-02-08 03:12:40
8,7b6539920d6b994d3c6ea88871f6dca3dbbef7884ce63cf57635b649ec7ce3f6,b2JD6sy3ZHTX3EqEyPXS058H4KPfA1lquCu2r6AZDUd7ne7c,02862419423697,B3683-J23,SRL-197412-000008-126,Amlodipine 5mg Tablets,2027-10-30,13,23,created,59.21,medium,7,2025-11-08 12:19:40,2025-11-26 14:47:40
9,823a7a7f04b45f783e4bea5509e7756f1eef14e8b159ab7807fa16aa3af9f369,wFv0Yg7NZRBT7qYHDBTq0Zf2pCLxb0lnXv2Rra6fSEVQOEXf,26354547372211,B2958-X78,SRL-199312-000009-289,Omeprazole 20mg Capsules,2028-02-18,9,24,delivered,76.02,high,1,2026-03-11 10:50:40,2026-09-03 17:35:40
10,3495a2dd1fbef24ee01af07a965cdbdf8ebd5404e0e23657308a32eb7c31340f,8IRh1E2JDBld6DYyeNdjIs9hVLXnGBB1,93667922611004,B8699-J14,SN-197109-000010-395,Pantoprazole 40mg Tablets,2028-01-18,3,22,in_transit,26.46,low,5,2025-12-07 08:28:40,2026-06-27 07:17:40
