id,product_unit_id,event_id,risk_score,reason,feature_values,model_version,created_at
1,166,203,7.24,Weight variance outside tolerance for declared SKU,"{""temp_excursion_c"":454.85,""scan_velocity_kmh"":107.35}",prov-risk-v1.0.0,2025-11-04 15:28:58+00
2,215,,42.45,Origin country mismatch with declared manufacturer,"{""checksum_valid"":false,""scan_velocity_kmh"":24.79}",prov-risk-v1.1.2,2024-03-13 08:43:41+00
3,286,149,54.07,Origin country mismatch with declared manufacturer,"{""supplier_risk_tier"":""high"",""time_since_last_event_hrs"":460.0,""gps_deviation_km"":186.2,""custody_gap_count"":4}",prov-risk-v2.1.0,2024-04-07 12:56:33+00
4,289,,68.04,Cross-border movement without customs event,"{""label_print_delta_days"":-15,""packaging_hash_similarity"":0.794,""temp_excursion_c"":349.5,""time_since_last_event_hrs"":175.7}",prov-risk-v2.0.1,2025-04-11 10:05:54+00
5,269,176,28.79,Duplicate unit ID detected across regions,"{""supplier_risk_tier"":""low"",""reseller_risk_score"":0.757}",prov-risk-v1.1.2,2026-01-29 13:51:56+00
6,216,,76.46,Origin country mismatch with declared manufacturer,"{""temp_excursion_c"":398.45,""packaging_hash_similarity"":0.069,""label_print_delta_days"":-25,""custody_gap_count"":2}",prov-risk-v2.0.0-beta,2024-04-10 23:22:29+00
7,32,159,99.31,Anomalous reseller account activity,"{""reseller_risk_score"":0.355,""temp_excursion_c"":305.46,""scan_velocity_kmh"":246.85,""checksum_valid"":true}",,2025-03-22 12:14:20+00
8,67,204,87.14,Duplicate unit ID detected across regions,"{""label_print_delta_days"":26,""reseller_risk_score"":0.137,""custody_gap_count"":3}",,2026-05-04 17:40:18+00
9,143,184,38.04,Temperature excursion detected during transit,"{""gps_deviation_km"":115.98,""time_since_last_event_hrs"":168.0,""supplier_risk_tier"":""medium""}",,2026-07-04 04:06:58+00
10,94,3,53.46,Model version confidence below acceptance threshold,"{""time_since_last_event_hrs"":647.7,""supplier_risk_tier"":""high"",""scan_velocity_kmh"":398.94,""checksum_valid"":false}",prov-risk-v2.0.0-beta,2025-09-11 19:00:32+00
11,202,,6.22,Duplicate unit ID detected across regions,"{""label_print_delta_days"":-9,""time_since_last_event_hrs"":432.5,""gps_deviation_km"":51.19}",prov-risk-v2.0.1,2024-08-22 23:33:55+00
12,275,,2.55,Batch code does not match registered production run,"{""time_since_last_event_hrs"":341.4,""custody_gap_count"":0,""temp_excursion_c"":424.47,""supplier_risk_tier"":""medium"",""packaging_hash_similarity"":0.48}",prov-risk-v1.2.0,2024-05-13 10:00:44+00
13,74,,26.48,Missing intermediate custody event,"{""checksum_valid"":false,""supplier_risk_tier"":""low""}",prov-risk-v2.1.0,2026-04-23 18:56:08+00
14,14,153,86.33,Unit re-entered supply chain after terminal event,"{""time_since_last_event_hrs"":389.9,""temp_excursion_c"":251.35,""checksum_valid"":true,""custody_gap_count"":4}",,2024-10-30 03:34:16+00
15,123,117,49.28,Unusual gap between manufacture and first scan event,"{""custody_gap_count"":2,""label_print_delta_days"":-18}",prov-risk-v2.1.0,2026-07-29 01:13:05+00
16,177,179,36.46,Temperature excursion detected during transit,"{""checksum_valid"":true,""label_print_delta_days"":-9}",prov-risk-v1.1.2,2026-01-19 18:37:09+00
17,1,177,8.48,GPS location inconsistent with declared origin,"{""checksum_valid"":false,""label_print_delta_days"":-25,""time_since_last_event_hrs"":576.6,""packaging_hash_similarity"":0.972,""temp_excursion_c"":197.92}",prov-risk-v2.0.0-beta,2024-05-11 22:01:08+00
18,82,66,,Origin country mismatch with declared manufacturer,"{""time_since_last_event_hrs"":394.8,""label_print_delta_days"":-29,""temp_excursion_c"":7.12,""gps_deviation_km"":485.45,""custody_gap_count"":5}",prov-risk-v1.0.0,2026-03-29 00:21:51+00
19,72,100,21.1,Unit re-entered supply chain after terminal event,"{""custody_gap_count"":6,""supplier_risk_tier"":""high"",""checksum_valid"":false}",prov-risk-v1.2.0,2026-04-25 14:56:31+00
20,215,32,35.38,Anomalous reseller account activity,"{""supplier_risk_tier"":""low"",""time_since_last_event_hrs"":628.4,""packaging_hash_similarity"":0.777,""custody_gap_count"":4,""reseller_risk_score"":0.004}",,2024-08-20 17:02:29+00
21,89,,12.03,Serial number checksum mismatch,"{""supplier_risk_tier"":""low"",""packaging_hash_similarity"":0.883,""label_print_delta_days"":-27,""reseller_risk_score"":0.248}",prov-risk-v1.2.0,2024-03-06 13:17:19+00
22,51,288,,Duplicate unit ID detected across regions,"{""temp_excursion_c"":226.17,""supplier_risk_tier"":""high"",""checksum_valid"":false,""packaging_hash_similarity"":0.508,""time_since_last_event_hrs"":178.3}",prov-risk-v2.0.1,2025-02-07 06:18:07+00
23,287,104,13.71,GPS location inconsistent with declared origin,"{""label_print_delta_days"":-3,""temp_excursion_c"":36.56,""gps_deviation_km"":334.74,""supplier_risk_tier"":""low"",""packaging_hash_similarity"":0.897}",prov-risk-v1.1.2,2025-07-22 20:18:09+00
24,74,71,21.96,GPS location inconsistent with declared origin,"{""label_print_delta_days"":-3,""time_since_last_event_hrs"":715.7,""checksum_valid"":false,""gps_deviation_km"":169.56,""temp_excursion_c"":97.87}",prov-risk-v1.2.0,2024-05-23 05:14:32+00
25,188,,44.05,Unusual gap between manufacture and first scan event,"{""temp_excursion_c"":56.42,""supplier_risk_tier"":""low"",""custody_gap_count"":0,""label_print_delta_days"":-25,""scan_velocity_kmh"":132.78}",prov-risk-v1.0.0,2024-10-09 00:43:35+00
26,139,217,67.6,Unit re-entered supply chain after terminal event,"{""time_since_last_event_hrs"":64.4,""supplier_risk_tier"":""low"",""label_print_delta_days"":21,""temp_excursion_c"":344.1,""packaging_hash_similarity"":0.425}",prov-risk-v1.0.0,2025-02-21 18:11:30+00
27,9,134,85.62,Duplicate unit ID detected across regions,"{""gps_deviation_km"":497.15,""label_print_delta_days"":-4,""scan_velocity_kmh"":463.33,""time_since_last_event_hrs"":192.9}",prov-risk-v1.1.2,2024-03-08 02:49:29+00
28,270,57,26.19,Missing intermediate custody event,"{""custody_gap_count"":2,""packaging_hash_similarity"":0.446,""checksum_valid"":true}",prov-risk-v1.2.0,2025-06-23 01:08:08+00
29,10,19,,RFID tag read at two distant locations simultaneously,"{""supplier_risk_tier"":""medium"",""label_print_delta_days"":-24,""checksum_valid"":false}",prov-risk-v2.1.0,2026-02-07 22:59:46+00
30,280,202,30.78,Batch code does not match registered production run,"{""temp_excursion_c"":202.35,""checksum_valid"":false,""time_since_last_event_hrs"":707.0}",,2024-07-20 15:59:15+00
31,8,,25.56,Missing intermediate custody event,"{""gps_deviation_km"":435.27,""reseller_risk_score"":0.671}",prov-risk-v1.2.0,2026-07-19 04:04:38+00
32,125,24,15.75,Anomalous reseller account activity,"{""custody_gap_count"":2,""temp_excursion_c"":486.31}",prov-risk-v2.0.1,2025-05-17 14:13:04+00
33,126,,21.79,Missing intermediate custody event,"{""temp_excursion_c"":41.95,""reseller_risk_score"":0.279}",prov-risk-v2.1.0,2024-11-08 05:04:46+00
34,128,3,81.7,Scan velocity exceeds physically plausible threshold,"{""packaging_hash_similarity"":0.304,""scan_velocity_kmh"":116.4,""reseller_risk_score"":0.586,""supplier_risk_tier"":""high"",""time_since_last_event_hrs"":614.3}",prov-risk-v1.1.2,2026-07-15 17:20:35+00
35,200,254,72.42,Scan velocity exceeds physically plausible threshold,"{""supplier_risk_tier"":""high"",""reseller_risk_score"":0.701}",prov-risk-v2.0.1,2024-08-04 09:45:50+00
36,269,292,80.47,Origin country mismatch with declared manufacturer,"{""gps_deviation_km"":66.55,""scan_velocity_kmh"":180.35,""supplier_risk_tier"":""low""}",prov-risk-v2.0.0-beta,2025-12-02 04:53:47+00
37,286,,,Weight variance outside tolerance for declared SKU,"{""label_print_delta_days"":-1,""custody_gap_count"":6,""scan_velocity_kmh"":35.06}",prov-risk-v2.0.1,2026-04-11 09:41:43+00
38,48,34,47.39,Duplicate unit ID detected across regions,"{""checksum_valid"":false,""packaging_hash_similarity"":0.494,""supplier_risk_tier"":""medium"",""temp_excursion_c"":38.37}",prov-risk-v2.1.0,2025-03-22 08:02:05+00
39,24,102,14.74,Unit re-entered supply chain after terminal event,"{""packaging_hash_similarity"":0.061,""time_since_last_event_hrs"":193.5,""scan_velocity_kmh"":336.0,""checksum_valid"":true}",prov-risk-v2.1.0,2026-01-30 14:08:40+00
40,149,147,46.63,GPS location inconsistent with declared origin,"{""custody_gap_count"":0,""gps_deviation_km"":144.79,""label_print_delta_days"":-26}",,2026-02-26 00:06:25+00
